Mã CK,Tên công ty
HPG,CTCP Tập đoàn Hòa Phát
VCB,Ngân hàng TMCP Ngoại thương Việt Nam
MBB,Ngân hàng TMCP Quân đội
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng
CTG,Ngân hàng TMCP Công Thương Việt Nam
VIC,Tập đoàn VINGROUP - CTCP
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam
ACB,Ngân hàng TMCP Á Châu
BSR,CTCP - Tổng Công ty Lọc hóa dầu Việt Nam
HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh
SHB,Ngân hàng TMCP Sài Gòn - Hà Nội
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP
SSB,Ngân hàng TMCP Đông Nam Á
VIB,Ngân hàng TMCP Quốc tế Việt Nam
MSB,Ngân hàng TMCP Hàng hải Việt Nam
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
OCB,Ngân hàng TMCP Phương Đông
SSI,CTCP Chứng khoán SSI
GAS,Tổng Công ty Khí Việt Nam - CTCP
NVL,CTCP Tập đoàn Đầu tư Địa ốc No Va
VRE,CTCP Vincom Retail
VNM,CTCP Sữa Việt Nam
NAB,Ngân hàng TMCP Nam Á
NVB,Ngân hàng TMCP Quốc Dân
STB,Ngân hàng TMCP Sài Gòn Tài Lộc
EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam
FPT,CTCP FPT
MWG,CTCP Đầu tư Thế giới Di động
MSN,CTCP Tập đoàn Masan
ABB,Ngân hàng TMCP An Bình
GEX,CTCP Tập đoàn GELEX
MCH,CTCP Hàng tiêu dùng Masan
PLX,Tập đoàn Xăng Dầu Việt Nam
SAB,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn
DXG,CTCP Bluemarq Group
HAG,CTCP Hoàng Anh Gia Lai
HNG,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai
MSR,CTCP Masan High-Tech Materials
BAB,Ngân hàng TMCP Bắc Á
HUT,CTCP Tasco
MBS,CTCP Chứng khoán MB
PDR,CTCP Phát triển Bất động sản Phát Đạt
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP
VAB,Ngân hàng TMCP Việt Á
HSG,CTCP Tập đoàn Hoa Sen
DIG,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng
VJC,CTCP Hàng không Vietjet
EVF,Công ty Tài chính Tổng hợp Cổ phần Điện lực
BVH,Tập đoàn Bảo Việt
FOX,CTCP Viễn thông FPT
DTK,Tổng Công ty Điện lực TKV - CTCP
DPM,Tổng công ty Phân bón và Hóa chất Dầu khí - CTCP
GEE,CTCP Điện lực Gelex
IJC,CTCP Phát triển Hạ tầng Kỹ thuật
KLB,Ngân hàng TMCP Kiên Long
DXS,CTCP Dịch vụ Bất động sản Đất Xanh
CEO,CTCP Tập đoàn C.E.O
HHV,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả
DCM,CTCP - Tổng công ty Phân bón Dầu khí Cà Mau
PNJ,CTCP Vàng bạc Đá quý Phú Nhuận
HND,CTCP Nhiệt điện Hải Phòng
VGT,Tập đoàn Dệt May Việt Nam
VSF,Tổng Công ty Lương thực Miền Nam - CTCP
NKG,CTCP Thép Nam Kim
NLG,CTCP Đầu tư Nam Long
PVT,Tổng Công ty cổ phần Vận tải Dầu khí
CRE,CTCP Bất động sản Thế Kỷ
SJG,Tổng Công ty Sông Đà - CTCP
KHG,CTCP Tập đoàn Khải Hoàn Land
VGC,Tổng Công ty Viglacera - CTCP
HHS,CTCP Đầu tư Dịch vụ Hoàng Huy
DBC,CTCP Tập đoàn Dabaco Việt Nam
SCR,CTCP Địa ốc Sài Gòn Thương Tín
DNH,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi
PC1,CTCP Tập Đoàn PC1
ASM,CTCP Tập đoàn Sao Mai
HDG,CTCP Tập đoàn Hà Đô
SAM,CTCP SAM Holdings
MPC,CTCP Tập đoàn Thủy sản Minh Phú
AAA,CTCP Nhựa An Phát Xanh
TTF,CTCP Tập đoàn Kỹ nghệ gỗ Trường Thành
HT1,CTCP Xi Măng Vicem Hà Tiên
FTS,CTCP Chứng khoán FPT
SNZ,Tổng Công ty cổ phần Phát triển Khu Công nghiệp
GEG,CTCP Điện Gia Lai
SSH,CTCP Phát triển Sunshine Homes
VSC,CTCP Container Việt Nam
QNS,CTCP Đường Quảng Ngãi
BAF,CTCP Nông nghiệp BAF Việt Nam
SGB,Ngân hàng TMCP Sài Gòn Công Thương
VIF,Tổng Công ty Lâm nghiệp Việt Nam - CTCP
HBC,CTCP Tập đoàn Xây dựng Hòa Bình
MML,CTCP Masan MeatLife
FIT,CTCP Tập đoàn F.I.T
VPI,CTCP Phát triển Bất động sản Văn Phú
HPX,CTCP Đầu tư Hải Phát
OGC,CTCP Tập đoàn Đại Dương
PRT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP
DLG,CTCP Tập đoàn Đức Long Gia Lai
